headline,content,author,publication_date
Cummins hails Green as 'the complete package',"ShareTweet Australian Test captain Pat Cummins heaped praise on allrounder Cameron Green and Travis Head after his team thrashed England by 146 runs in the fifth Test in Hobart to complete a 4-0 rout in the Ashes. Green turned the game on its head on Day 3 with his fiery six-over spell on either side of the Tea break that triggered a dramatic English collapse of 10 for 56. Set a target of 271, England looked well on their way courtesy openers Rory Burns and Zak Crawley's 68-run stand but Green broke the partnership at the stroke of Tea by dismissing the former. He returned soon after the break and sent Dawid Malan and Crawley packing in his succeeding overs to induce a free fall. That after already having chipped in a vital first innings 74 in a 121-run partnership with Travis Head, who notched up two centuries in four games. Cummins was effusive in his praise of the duo. ""Last summer I thought he showed signs of his potential and this summer he was really confident. I think he grew as a batter and bowler throughout it. And he's just as good as any all-rounder in the world at the moment,"" Cummins said of Green. ""For someone so young, as a captain, I feel really lucky, not only to draw on him as a bowler but when he's next in to bat I just feel so calm. ""As a bowler, he's a genuine fourth quick. I feel like I turn to him sometimes before I turn to myself or someone else. he's just got that bounce, he's got the control, incredible skills. And he's been bowling so well, we've only had to bowl him 10 or 15 overs a day or an innings. Again, you forget how young he is, seeing the guy as well he's absolutely the complete package. He's young so we have to keep looking after him but a bright future ahead."" On a comeback trail, Head finished the Ashes as the leading run-getter on either side with two centuries in four games and 357 runs overall at an average of 59.5 to bag the Player of the Series award. ""Someone like Trav Head he's still seen as one of one the younger payers but he's got hell of lot of experience in domestic cricket. He's played a lot. And he goes about it a little bit differently to most other batters which is his biggest strength. As a captain, I don't care if he gets out in non traditional ways. I just want him to go out, be free and play his game. I think being dropped last year and coming in this year he came with a real calmness about him, real confidence and you saw that straight away at the Gabba, he just played his game and he's just really grown,"" Cummins said of the centurion. The Australian captain himself had a dream run in his very first, high-profile assignment in-charge of the Test side. Despite missing a game after being deemed a close contact of a COVID-positive case, Cummins finished as the leading wicket-taker of the series with 21 scalps at an average a shade over 18, a fifer on captaincy debut and a seven-wicket match haul to seal it in Hobart - quashing all doubts about how the additional responsibility will affect his bowling. ""That was probably my biggest worry in accepting the role as captain,"" Cummins said. ""I'm in the team as a bowler, I want to make sure that's protected and I'm able to perform as well as I like. I think with each game I felt better with managing that, I could really switch off, take off the captain's hat for my overs. ""Even the little things with bowling changes, I feel like I got better at managing that. It might be difficult in the heat or longer innings but I feel like it's something I'll only get better at."" Cummins however noted that his next challenge as a captain is to ensure Australia replicate the same success overseas. ""To be the best side in the world you have to win at home but almost and more importantly you need to be successful overseas,"" the 28-year-old said when asked where he wants to take this side. ""We haven't played a whole lot overseas in the last couple of years. Pakistan, Sri Lanka, India next year, England, it's all really foreign conditions to Australia. That will be our challenge. I feel we are really well suited with a squad of 15 plus extras who aren't here who can offer a lot in those conditions. This is hopefully the beginning. I feel we're all in a really good place. There are no imminent retirees, so hopefully, we're building something big the next few years. ""I thought the way we played on day one, we were 3-12. These are quite foreign conditions to what we normally expect in Australia - green seaming wicket. I thought the way Marnus, Trav Head, CG took on the game was a really good template for any conditions that are really foreign that we might expect. ""We can be the type of team that are brave enough to take that positivity overseas if we need to. I think that puts us in a great place. Again, we had a squad of 15 players used through this series. Everyone brings slightly different skills and goes about it slightly differently. I'm really excited about the upcoming Pakistan tour. We have played really well here in Australia now it's up to us to take that overseas,"" he said. ShareTweet",Cricbuzz Staff,16/01/2022
N/A,,N/A,N/A
Williams ton powers Zimbabwe to 296,"ShareTweet Sean Williams' 87-ball 100 and Regis Chakabva's 72 of 81 helped Zimbabwe set a challenging target for Sri Lanka in the first ODI in Pallekele on Sunday (January 16). Opting to bat against a Sri Lankan side that made five changes from their last ODI, Zimbabwe finished with 296 for 9. Chakabva, who was put down by Charith Asalanka at first slip off Nuwan Pradeep when he had scored only 2, made Sri Lanka pay for the miss as he put on an 80-run opening stand with Takudzwanashe Kaitano. Playing his first ODI, the 28-year-old Kaitano was the aggressor in the partnership as he struck regular boundaries. Kaitano was quick to put away anything that was short while there were also a couple of edges that resulted in fours. Chakabva, who had scored only 14 off 27 in the first 10 overs, bettered his strike rate with a few boundaries. The partnership, however, came to an end in the 15th over. Kaitano was put down by Nissanka at cover but could not capitalise on the reprieve as he failed a read a googly from Jeffrey Vandersay and was trapped in front. Chakabva, meanwhile, got to his fourth ODI fifty in the 19th over with a single, getting there off 49 balls, having struck a six and a four earlier in the over. Kamindu Mendis ended Craig Ervine's stay by as the Zimbabwe captain got an inside edge on to the stumps. But the visitors made steady progress as Chakabva and Sean Williams put on a half-century stand. Williams scored at a strike rate of over 100 in the third wicket association while Chakabva was brisk as well, as the pair rotated the strike well along with timely boundaries. Chakabva's innings came to an end when Vandersay struck in the 30th over to bag his second wicket. The 34-year-old opening batsman tried to fetch a sweep from outside off but ended up gloving the ball to the 'keeper, with Sri Lanka having to take the DRS route for the decision to go in their favour. Williams did not allow Sri Lanka to gain momentum with the wicket as he received support from Sikandar Raza in a 46-run partnership to power Zimbabwe forward. A double-wicket over from Nuwan Pradeep and Wellington Masakadza's run out left Williams to do most of the work in the death overs, and the experienced left-hander was up to the task as he targetted Chamika Karunaratne who ended up conceding 16 in the 48th over. The 49th over, which was bowled by Pradeep, yielded only four runs as Williams brought up his fifth ODI ton. But he was bowled on the final over by Karunaratne, who also picked up the wicket of Blessing Muzarabani. But Richard Ngarava finished off with a six and a four as Zimbabwe finished close to the 300 mark. Brief scores: Zimbabwe 296/9 in 50 overs (Sean Williams 100, Regis Chakabva 72, Takudzwanashe Kaitano 42; Chamika Karunaratne 3-69, Nuwan Pradeep 2-54, Jeffrey Vandersay 2-44) vs Sri Lanka. ShareTweet",Cricbuzz Staff,20/01/2022
Australia complete 4-0 series win after another England collapse,"ShareTweet Mark Wood may have expected to put his feet up, at least for an evening, after the rigours of the opening session. Yet late on the third evening at Hobart, on a day he'd taken a career-best 6 for 39, he was out facing Pat Cummins. If he was indeed frustrated, it showed. He hit the ball as hard as he could for two boundaries before dragging the third one on to his stumps, walking off to some sympathetic applause among the more delirious one. England have a proclivity for batting collapses but even by their standards, losing all 10 wickets over a 56-run stretch was frightening. Chasing 271, England got their first half-century opening stand of the series. Zak Crawley and Rory Burns put on 68 but two hours after murmurs of a fourth-innings chase began to take shape, they were out shaking hands with the opposition as England folded for 124, conceding the Ashes series 0-4. Three Australian bowlers - Cameron Green, Scott Boland and Cummins - took three wickets apiece but England, though, were their own worst enemy, with several batsmen guilty of not applying themselves. England's hopes were dented at the stroke of Tea when Rory Burns played on to a Green delivery. Until then, he and Crawley had survived the vagaries of the pitch and unfurled pleasing drives either side of the wicket. It was Green who opened the floodgates on the other side of the interval. Dawid Malan wore a bouncer on his head and then chopped a delivery onto his stumps. Crawley, who had moved on to 36 serenely, went searching for a booming drive to a full Green ball that swung away late and nicked off to the keeper. His job done, Green handed over the reins to his more senior bowling partners. Mitchell Starc had Ben Stokes pulling a short ball straight to deep square leg while Joe Root was the victim of a Boland ball that kept low and disturbed his woodwork. Boland added the wickets of Chris Woakes and Sam Billings before the captain returned to claim three of the final four wickets to finish with a series tally of 21. Before all the ignominy, Wood had provided genuine grounds for England optimism when he hurled short balls at rapid speed to knock Australia out for 155 in their second innings. His list of victims in the afternoon included Steve Smith who couldn't control a pull shot and holed out at fine leg. Wood's six-over burst (3 for 12) in the first session had Australia reduced to 63/6 with a sub-200 target on the cards. Alex Carey, though, scored a valuable 49 after being dismissed off a no-ball to push the total to 270. It was a target too far for this England batting line-up, who couldn't cash the cheque that Wood had written. Brief scores: Australia 303 & 155 (Alex Carey 49; Mark Wood 6-37) beat England 188 & 124 (Zak Crawley 36; Scott Boland 3-18, Pat Cummins 3-42, Cameron Green 3-21) by 146 runs. ShareTweet",Cricbuzz Staff,16/01/2022
Wood takes six; England set 271 for victory,"ShareTweet Mark Wood registered career-best figures of 6 for 37 to keep England in the hunt in the Hobart Day-Night Ashes Test. The seamer used his short-ball ploy to great effect as Australia were bowled out for 155 in their second innings before Tea on Day 3. England, riding on the fillip provided by their pace ace, made an encouraging start to a challenging target of 271, with Rory Burns and Zak Crawley putting on 68 - England's highest opening stand of the series - before the former played on off Cameron Green on the stroke of Tea. Wood had completed his third Test match fifer in the first session of the day and came back after the Dinner break to castle Pat Cummins and close out the third innings of this Test. Between that though Australia found 49 useful runs from their keeper-bat Alex Carey, who pushed the lead past 250, a psychological target considered beyond an under-fire England's grasp. Notwithstanding the Carey cameo, Wood was the story of the first two sessions as England fought their way back after conceding a 115-run first-innings lead. As early as the fourth over of the day, he hit the hard length and got a delivery to climb steeply towards Scott Boland's throat, something the nightwatchman could only glove to the 'keeper. Two overs later, he accounted for first-innings centurion Travis Head, who became the latest in a list of batsmen strangled down the legside in this game. The short ball theory, however, got its greatest stamp of approval when Steve Smith was consumed on the pull at fine-leg. Australia at that stage were reduced to 63 for 6 with England entertaining the possibility of chasing a target under or close to 200. Expectedly there was resistance once Wood's impressive spell of 6-0-12-3 came to an end. Alex Carey and Cameron Green got together to add risk-free runs but not without some luck along the way. Carey played on to a Chris Woakes delivery while on 19 only for the third umpires to reveal that the bowler had marginally overstepped. Carey was also adjudged LBW, a decision that he overturned with a review. The 49-run partnership was eventually ended when Broad had Green ruled out LBW with a review. Wood then returned for another spell and used his patented short ball to have Mitchell Starc caught at short leg to complete a well-deserved five-wicket haul. He'd opened the door for England and given his batters a chance to redeem themselves at the end of a bruising series. Brief scores: England 68/1 (Zak Crawley 32*; Cameron Green 1-4) & 188trail Australia303 & 155 (Alex Carey 49; Mark Wood 6-37) by 203 runs. ShareTweet",Cricbuzz Staff,16/01/2022
"Zaman, Shadab Khan, Rauf to leave BBL for PSL preparation","ShareTweet Pakistan Cricket Board has asked Fakhar Zaman, Shadab Khan and Haris Rauf to return from the BBL in order to prepare for the PSL which commences on January 27. In a statement, the Brisbane Heat franchise said they are 'disappointed' that the opener, Zaman won't play in the remaining matches. He was signed by the franchise on December 31 last year, but he played just one game due to Covid-19-related travel restrictions. Meanwhile, Rauf confirmed via his Twitter handle that he was leaving Melbourne Stars with two matches remaining. On the other hand, Adelaide Strikers lost out on the services of Rashid Khan for the rest of the tournament due to the spinner having international commitments. ""Unfortunately the Pakistan Cricket Board confirmed it had rescinded its permission for Fakhar to play our remaining games, along with all Pakistan players currently involved in the BBL, and summoned him to return immediately to prepare for the Pakistan Super League,"" Heat said in a statement on Sunday (January 16). ""We are disappointed that he won't be able to play for us and he is disappointed he won't have the opportunity to get some more games in for us. He asked us to thank the fans for their support and wish the team all the best for the remaining three games,"" the statement added. Heat, though, received a boost as Michael Neser and Mitchell Swepson are returning to the fold for their game versus Stars. Mitchell Marsh and Josh Inglis were also released from the Australian Test set-up and will play for Perth Scorchers. ShareTweet",Cricbuzz Staff,16/01/2022
Gritty Ireland eye series win,"ShareTweet Despite Covid cases in the camp and an injury scare or two, Ireland pulled one back in the rain-curtailed second ODI against the West Indies in Jamaica. Andy McBrine, who was hit on the head in the previous game, turned his campaign around by compiling a crucial hand of 35 and took four wickets as Ireland won by a margin of five wickets. Harry Tector too made an impression with his second fifty of the series. The promising batter had also scored fifties versus the Netherlands, South Africa and Zimbabwe last year. With their regular skipper - Andrew Balbirnie - testing positive for COVID-19, Tector has been the backbone of the batting unit. In the pace bowling department, Craig Young and Joshua Little have also picked up crucial wickets in the series so far. If anything, Ireland can look to improve their bowling in the slog overs. As Stirling himself noted in the post-match presentation after the second ODI: ""The last 10 overs of the bowling innings, we can finish better."" On the other hand, the hosts have a problem or two at the top of the order. In both the matches, Shai Hope, Justin Greaves and Nicholas Pooran struggled to make an impact at the top of the order. The focus would be on currently their best ODI batter Hope to provide the platform. When put under pressure in the second game, the bowlers couldn't make inroads at regular intervals. The coaching staff would look at Alzarri Joseph, Romario Shepherd and Odean Smith to bowl with the kind of penetration and discipline that they displayed in the opening encounter. Ireland are placed fourth (50 points) while West Indies are at the eighth slot (40 points) in the Men's Cricket World Cup Super League table. So the significance of this match is a lot more than just a series win. When: Sunday, January 16 at 9:30 AM Local Time (8:00 PM IST) Where: Sabina Park, Kingston, Jamaica What to expect: There is a slim chance of a rain shower but the weather forecast looks promising. Teams News: West Indies: The West Indies could look at giving one more chance to Greaves at the top of the order. Devon Thomas (wicketkeeper-batter) is the reserve batter. Probable XI: Shai Hope (wk), Justin Greaves, Nicholas Pooran, Shamarh Brooks, Kieron Pollard (c), Roston Chase, Jason Holder, Romario Shepherd, Odeon Smith, Alzarri Joseph, Akeal Hosein Ireland: As Ireland are grappling with Covid cases in the camp, the visitors are unlikely to make changes to the winning XI. Probable XI:William Porterfield, Paul Stirling (c), Andy McBrine, Harry Tector, Curtis Campher, George Dockrell, Gareth Delany, Neil Rock (WK), Mark Adair, Craig Young and Joshua Little. What they said: ""It means a lot. We are delighted how the lads have responded. We are delighted to get the win. Just got a good grab (about taking a good catch today),"" Stirling said after the second game. ShareTweet",Cricbuzz Staff,16/01/2022
Wood five-fer keeps England in the game,"ShareTweet Mark Wood produced a lion-hearted bowling effort on the third afternoon of the Day-Night Hobart Test, his third Test match five-fer keeping England in the contest. At Dinner break, Australia were reduced to 141 for 8, an overall lead of 256. England, who had conceded a 115-run first-innings lead following another forgettable batting show, had clawed back some of the deficit by taking out three Australian wickets late last night. But it needed an even better performance in less conducive conditions this afternoon for them to entertain any thoughts of a comeback. Wood provided just that while operating in tandem with Stuart Broad. Into the fourth over of the day's play he hit the hard length and got a delivery to climb steeply towards Scott Boland's throat, something the nightwatchman could only glove to the 'keeper. Two overs later, he accounted for first-innings centurion Travis Head, who became the latest in a list of batsmen strangled down the legside in this game. The short ball theory, though, got its greatest stamp of approval when Steve Smith was consumed on the pull at fine-leg. Australia at that stage were reduced to 63 for 6 with England entertaining the possibility of chasing a target under or close to 200. Expectedly there was resistance once Wood's impressive spell of 6-0-12-3 came to an end. Alex Carey and Cameron Green got together to add risk free runs but not without some luck along the way. Carey played on to a Chris Woakes delivery while on 19 only for the third umpires to reveal that the bowler had marginally overstepped. Carey was also adjudged LBW, a decision that he overturned with a review. The 49-run partnership was eventually ended when Broad had Green ruled out LBW with a review. Wood then returned for another spell and used his patented short ball to have Mitchell Starc caught at short leg. Carey though remained unbeaten on 40 and took the lead past the psychological 250 mark. Brief scores: Australia 141/8 (Alex Carey 40* ; Mark Wood 5-32) & 303 lead England 188 by 256 runs. ShareTweet",Cricbuzz Staff,16/01/2022
"Live Cricket Score - Australia vs England, 5th Test, Day 3","ShareTweet Over: England lose by 146; Australia take the Ashes 4-0 They lost the last 10 wickets for 56 runs. That is a collapse and a half. Embarrassing for an England side, who may have even considered to have been in the chase at Tea time. The reality of the matter is, their batting has just not been good enough. They collapsed in one session and the game's over in less than nine (remember we lost most of the final session on Day 1) Basically, the match slipped out of England's hands on day 1 itself when they gave away almost 250 runs in conditions where the ball darted around considerably. It's 4-0 for Australia! And a lot of soul-searching to do for England. Hang around Cricbuzz for all the follow-up stories. We'll sign off from this Ashes series here with a couple of reactions from Social Media. Happening quickly now, Australia three away A pretty sorry dismissal for Ollie Pope. He walks across his stumps and misses a straight ball and is bowled. The first of the innings for Cummins, who has 19 for the series in his Ashes as captain. Boland gets another, Australia four away Could it actually get over today? Sam Billings chips a catch to mid-on and Australia are into Woakes and the lower-order now. Pretty ordinary stuff (not new) from England's batsmen. Root falls: Is that 4-0? Not much Root can do about this ball from Boland. Keeps low and slips under his defence to rattle the stumps. No hundred in Australia for the England captain, he's had a couple of good knocks but after that 2021, a lull was to be expected. Short-ball return gift Starc comes back for a new spell and gives his captain a big breakthrough. He goes for a surprise short ball and Ben Stokes decides to take him on. Gets it high on the bat and finds Nathan Lyon at deep square leg. Massive wicket this and Australia are on their way now, you'd expect, to that 4-0 result. England 92/4 Three for Green and England are sliding From 68/0 to 83/3. Just England things. But this is a fine spell from Australia's rising star all-rounder. Full with a hint of late outswing. Crawley can't get to the pitch while driving and nicks the ball to the 'keeper. This innings typifies all that's worrying for England as a batting unit. Pretty 36 and gone! A second wicket after Tea for Green And it's another chop on, this time from Malan. After a good start, England are two down for 82. Malan was troubled by Green, who beat the bat and even struck the left-hander on the helmet. Over to Joe Root once again, with the target 189 runs away. Tea: Burns falls at the stroke of the break Heartbreak for him and the England fans. It's the last over before the Tea interval and he plays on a ball from Cam Green. Gone for 26 and England's promising 68-run opening stand is ended. They are 203 away. Bright start to the chase England's best opening stand of the series was 47. Burns and Crawley have got to that in 9 overs. Some brisk scoring. Of course there have been some close LBW shouts and referrals. But there is promise. Two runs later: England 51, Australia 49 Update: Burns has let his hair down Frankly it was time. Just throw caution to the wind and play a sprightly knock here. As it is he is under pressure. A bit of carefree approach couldn't do more harm, could it? If it's for luck, it's working for the moment. Outside edges flying into the gaps, LBW appeals not convincing. 20/0 inside five overs. Wood gets six; Target for England - 271 And it ends with Wood getting 6 for 37 , his best figures in Test cricket. Pat Cummins is the last man out, cleaned up by a fast and straight ball. It's been a great series for Wood, barring that first innings here in Hobart where he was counter-attacked. But his short-ball ploy did rattle one or two members of the Australian top order. He can put his feet up for now, unless he's called out early to bat. England need 271 to make it 3-1. Australia need 10 wickets for 4-0! England have taken all 20 wickets in an Ashes Test in Australia for the first time since Sydney 2014 - 10 matches ago. Carey falls for 49; Lead past 260 Misses out on the 50 but this has been a fine innings from Australia's keeper-bat under the circumstances. He inisde edges a Broad delivery to Sam Billings behind the stumps, but with Australia's lead now nearing 270, he's done his job. One wicket still left for England to take. Dinner: Australia lead by 256 They have enough already, some would reckon. They wouldn't be wrong given what we've seen with England's batting this series. They have two wickets in hand, including Carey who is on 40* and Lyon in the hut (who added 31 in the first innings). Five-fer for Wood A lion-hearted bowling performance that keeps England in the game, just about. It's another short ball and Starc has fended it off his hips to the short-leg fielder stationed for that very response. Tremendous effort this after that first-innings misstep. Can England bowl Australia out and chase a score under 250? Australia still have some nuggety tail-enders to come. Broad breaks resistance Green plays inside the line to a delivery that nips away ever so slightly. He is pinged on the pad and is out LBW after a review. End of a 49-run stand. Australia lead by 227 with 3 wickets in hand. Wicket of a no-ball Rabada bowled so many of these in that South Africa - India series, none however cost him a wicket. Here Woakes' transgression (not sure if it's that big to be honest) has cost England the Carey wicket. The Australian keeper-bat played on but will continue batting. He was on 19. The lead will build. Lead passes 200 Steady stand between Carey and Green. Nothing flashy. Old fashioned Test cricket once Wood was done with his spell. It also shows that there are runs on the pitch at opportune times. Smith falls to a bouncer trap Three in the morning for Wood and four in the innings so far. Another short ball with a trap set. Smith takes it on and finds the man at fine-leg. Australia are 63/6, effectively ahead by 178. Great intent from the visitors so far. A second for Wood this morning The short ball theory keeps bringing him rewards. This one is down the legside but the awkward bounce means Travis Head is in no control of the tuck. Gloves it to the keeper. England fighting and staying in contention. Australia lead by 176 with 5 wickets in hand. The nightwatchman is packed off Mark Wood bowls a perfume ball that Boland can only glove it to the 'keeper. Australia are effectively 162/4. Broad has had a couple of LBW appeals against Steve Smith at the other end and now the Australian vice-captain is joined by first-innings centurion Travis Head. Smith and Boland walk out Broad with a 19-over-old ball. Pristine batting conditions now. Can England get an opening? Tee hee   Prelude - Day 3 The traditional moving day. But this Test has already moved at the rate of knots after a 17-wicket day yesterday. Australia are ahead as a lead of 152 would suggest but they have as yet to close the door shut on the opposition. England had another forgettable day with the bat yesterday but their bowlers can give their batters one final chance to redeem themselves. Broad and Co. were excellent last evening when they knocked Australia's top-three off. Now they have a Steve Smith-shaped mountain to get past. Should be an interesting day of cricket, this. Grab your cuppa and get ready! ShareTweet",Cricbuzz Staff,16/01/2022
Under-19 World Cup wrap - Yash Dhull fifty gives India winning start,"ShareTweet Canada U19 vs United Arab Emirates U19 UAE made a winning start to the tournament after a 49-run win over Canada, restricting them to 235 in a chase of 285. After opting to bat UAE were led by Punya Mehra (71) and Ali Naseer, who got respective scores in the 70s to take them to a strong total. Skipper Alishan chipped in with 37, as did Nilansh Keswani with 39, but it was Naseer's 73 off 50 at No.7 - that included five fours and four sixes - that made the difference between a 220 finish and a 280-plus one. Canada were kept in the chase by skipper Mihir Patel who at No.4 held the innings together with 96, but fell short of a deserved century. But Canada losing wickets at regular intervals meant they fell well-short in the end. Kairav Sharma made a 43 lower down the order, but too much was left to do in the end as Canada were bowled out for 235 in 46.4 overs. Brief scores: UAE U19 284/7 in 50 overs (Alishan Sharafu 37, Punya Mehra 71, Nilansh Keswani 39, Ali Naseer 73; Parmveer Kharoud 2-49, Gurnek Johal Singh 2-38) beat Canada U19 235 in 46.4 overs (Anoop Chima 46, Mihir Patel 96, Kairav Sharma 43; Nilansh Keswani 2-32, Adhitya Shetty 2-64, Jash Giyanani 2-10, Alishan Sharafu 2-27) by 49 runs. India U19 vs South Africa U19 India started their campaign in Group B with a 45-run win over South Africa. Although it was not their best game with the bat being bowled out for 232, but they still managed to win quite comfortably in the end. Chasing 233, South Africa fell comfortably short despite having gotten off to a good start, with 55 on the board after 11 overs for just one wicket. Even as Dewald Brevis was batting beautifully, it was in the middle overs where they lost the game as they got strangled by spin on a pitch where the ball was gripping. The runs were hard to come by with Vicky Ostwal, Nishant Sindhu and Kaushal Tambe giving nothing away. From overs 12-31, the whole 20 over-phase yielded just 64. South Africa couldn't handle that pressure and it sparked a mighty collapse with the side losing their last seven wickets for 49 as Ostwal returned 5-28, while Raj Bawa had 4-47. India earlier got to 232 thanks to captain Yash Dhull's knock of 82. Kaushal Tambe put on a 44-ball 35 and although the total didn't seem like the strongest, it proved enough with South Africa being bowled out for 187. Brief scores: India U19 232 in 46.4 overs (Shaik Rasheed 31, Yash Dhull 82, Kaushal Tambe 35; Matthew Boast 3-40, Aphiwe Mnyanda 2-29, Dewald Brevis 2-43) beat South Africa U19 187 in 45.4 overs(Dewald Brevis 65, George Van Heerden 36; Raj Bawa 4-47, Vicky Ostwal 5-28) by 45 runs. Ireland U19 vs Uganda U19 In Group B, Ireland beat Uganda by 39 runs for their first win in the competition. Joshua Cox scored an incredible century at almost a run a ball to lead Ireland to 236. No other batsman other than Cox really settled in after Philippus le Roux, David Vincent and Scott MacBeth got starts. Uganda, meanwhile, had their chase derailed with early wickets from where they couldn't return. Although skipper Pascal Murungi scored an 82-ball 63, it wasn't enough to take them even close to the target as Matthew Humphreys returned a four-wicket haul. Brief scores: Ireland U19 236/9 in 50 overs (Joshua Cox 111, Philippus le Roux 32; Juma Miyaji 2-56, Pascal Murungi 2-44, Joseph Baguma 2-34, Matthew Musinguzi 2-35) beat Uganda U19 197 in 48.1 overs (Pascal Murungi 63, Juma Miyaji 38; Matthew Humphreys 4-25, Muzamil Sherzad 2-46, Nathan McGuire 2-29) by 39 runs. Zimbabwe U19 vs Papua New Guinea U19 Zimbabwe picked up first points in a massive 228-run win over PNG who were bowled out for just 93 in a chase of 322. Emmanuel Bawa's 100 off 95 led Zimbabwe's charge early on as he stitched stands with Panashe Taruvinga (36) and David Bennett (58) to keep Zimbabwe on course for a big total finish. He fell, however, soon after his century but Victor Chirwa's 16-all 35 at No.9 helped them past 300. Chirwa carried forward the momentum with the ball too, picking up two wickets, but more importantly, conceding just 11 runs in his seven overs. Zimbabwe's bowlers were all over PNG's batsmen from the start with the top score being 15 before they were bowled out in 35 overs. Brief scores: Zimbabwe U19 321/9 in 50 overs (Panashe Taruvinga 36, Emmanuel Bawa 100, David Bennett 58, Connor Mitchell 35, Victor Chirwa 35; Rasan Kevau 3-65) beat Papua New Guinea U19 93 in 35 overs (Ngenyasha Zvinoera 2-25, Brian Bennett 2-20, Victor Chirwa 2-11) by 228 runs. ShareTweet",Cricbuzz Staff,16/01/2022
