position,name,country,rating,game_type,category
1,Kane Williamson,NEW ZEALAND,864,TEST,Batting
2,Joe Root,NEW ZEALAND,832,TEST,Batting
3,Steven Smith,NEW ZEALAND,818,TEST,Batting
4,Daryl Mitchell,NEW ZEALAND,786,TEST,Batting
5,Babar Azam,NEW ZEALAND,768,TEST,Batting
6,Virat Kohli,NEW ZEALAND,767,TEST,Batting
7,Harry Brook,NEW ZEALAND,765,TEST,Batting
7,Usman Khawaja,NEW ZEALAND,765,TEST,Batting
9,Dimuth Karunaratne,NEW ZEALAND,747,TEST,Batting
10,Marnus Labuschagne,NEW ZEALAND,746,TEST,Batting
11,Travis Head,NEW ZEALAND,741,TEST,Batting
12,Rohit Sharma,NEW ZEALAND,729,TEST,Batting
13,Rishabh Pant,NEW ZEALAND,721,TEST,Batting
14,Saud Shakeel,NEW ZEALAND,693,TEST,Batting
15,Ollie Pope,NEW ZEALAND,684,TEST,Batting
16,Ben Stokes,NEW ZEALAND,682,TEST,Batting
17,Temba Bavuma,NEW ZEALAND,678,TEST,Batting
18,Jonny Bairstow,NEW ZEALAND,675,TEST,Batting
19,Litton Das,NEW ZEALAND,668,TEST,Batting
19,Mohammad Rizwan,NEW ZEALAND,668,TEST,Batting
21,Aiden Markram,NEW ZEALAND,667,TEST,Batting
22,Ben Duckett,NEW ZEALAND,661,TEST,Batting
23,Dinesh Chandimal,NEW ZEALAND,656,TEST,Batting
24,Dean Elgar,NEW ZEALAND,654,TEST,Batting
25,Tom Blundell,NEW ZEALAND,649,TEST,Batting
26,Dhananjaya de Silva,NEW ZEALAND,647,TEST,Batting
26,Mushfiqur Rahim,NEW ZEALAND,647,TEST,Batting
28,Angelo Mathews,NEW ZEALAND,646,TEST,Batting
29,Tom Latham,NEW ZEALAND,620,TEST,Batting
30,Zak Crawley,NEW ZEALAND,614,TEST,Batting
31,David Warner,NEW ZEALAND,611,TEST,Batting
32,Abdullah Shafique,NEW ZEALAND,608,TEST,Batting
33,Agha Salman,NEW ZEALAND,605,TEST,Batting
34,Devon Conway,NEW ZEALAND,602,TEST,Batting
35,Cheteshwar Pujara,NEW ZEALAND,588,TEST,Batting
36,Imam-ul-Haq,NEW ZEALAND,584,TEST,Batting
37,Kraigg Brathwaite,NEW ZEALAND,568,TEST,Batting
38,Shakib Al Hasan,NEW ZEALAND,566,TEST,Batting
39,Ravindra Jadeja,NEW ZEALAND,564,TEST,Batting
40,Henry Nicholls,NEW ZEALAND,562,TEST,Batting
41,Alex Carey,NEW ZEALAND,557,TEST,Batting
42,Craig Ervine,NEW ZEALAND,555,TEST,Batting
43,Ajinkya Rahane,NEW ZEALAND,546,TEST,Batting
43,Cameron Green,NEW ZEALAND,546,TEST,Batting
45,Najmul Hossain Shanto,NEW ZEALAND,545,TEST,Batting
46,Kusal Mendis,NEW ZEALAND,536,TEST,Batting
47,Tamim Iqbal,NEW ZEALAND,534,TEST,Batting
48,Shreyas Iyer,NEW ZEALAND,533,TEST,Batting
49,Jermaine Blackwood,NEW ZEALAND,531,TEST,Batting
50,Axar Patel,NEW ZEALAND,517,TEST,Batting
51,KL Rahul,NEW ZEALAND,514,TEST,Batting
52,Shubman Gill,NEW ZEALAND,509,TEST,Batting
53,Glenn Phillips,NEW ZEALAND,502,TEST,Batting
54,Keegan Petersen,NEW ZEALAND,498,TEST,Batting
55,Mominul Haque,NEW ZEALAND,493,TEST,Batting
56,Rassie van der Dussen,NEW ZEALAND,487,TEST,Batting
56,Mitchell Marsh,NEW ZEALAND,487,TEST,Batting
56,Shan Masood,NEW ZEALAND,487,TEST,Batting
59,Kyle Verreynne,NEW ZEALAND,486,TEST,Batting
60,Joshua Da Silva,NEW ZEALAND,482,TEST,Batting
60,Nkrumah Bonner,NEW ZEALAND,482,TEST,Batting
62,Niroshan Dickwella,NEW ZEALAND,479,TEST,Batting
62,Harry Tector,NEW ZEALAND,479,TEST,Batting
64,Ben Foakes,NEW ZEALAND,475,TEST,Batting
65,Sarfaraz Ahmed,NEW ZEALAND,471,TEST,Batting
66,Yashasvi Jaiswal,NEW ZEALAND,461,TEST,Batting
67,Jason Holder,NEW ZEALAND,450,TEST,Batting
67,Lorcan Tucker,NEW ZEALAND,450,TEST,Batting
69,Zakir Hasan,NEW ZEALAND,444,TEST,Batting
70,Oshada Fernando,NEW ZEALAND,439,TEST,Batting
71,Ibrahim Zadran,NEW ZEALAND,432,TEST,Batting
72,Kyle Mayers,NEW ZEALAND,427,TEST,Batting
73,Sarel Erwee,NEW ZEALAND,424,TEST,Batting
74,Mahmudul Hasan Joy,NEW ZEALAND,414,TEST,Batting
75,Marco Jansen,NEW ZEALAND,405,TEST,Batting
77,Innocent Kaia,NEW ZEALAND,394,TEST,Batting
78,Ravichandran Ashwin,NEW ZEALAND,385,TEST,Batting
79,Hashmatullah Shahidi,NEW ZEALAND,380,TEST,Batting
80,Tagenarine Chanderpaul,NEW ZEALAND,375,TEST,Batting
82,Rahmat Shah,NEW ZEALAND,366,TEST,Batting
83,Chris Woakes,NEW ZEALAND,364,TEST,Batting
84,Roston Chase,NEW ZEALAND,362,TEST,Batting
85,Faheem Ashraf,NEW ZEALAND,354,TEST,Batting
86,Nurul Hasan,NEW ZEALAND,350,TEST,Batting
88,Alick Athanaze,NEW ZEALAND,346,TEST,Batting
89,Curtis Campher,NEW ZEALAND,336,TEST,Batting
90,Will Young,NEW ZEALAND,333,TEST,Batting
91,Nishan Madushka,NEW ZEALAND,329,TEST,Batting
92,Mitchell Santner,NEW ZEALAND,328,TEST,Batting
93,Mehidy Hasan Miraz,NEW ZEALAND,327,TEST,Batting
94,Shamarh Brooks,NEW ZEALAND,313,TEST,Batting
94,Moeen Ali,NEW ZEALAND,313,TEST,Batting
96,Andrew Balbirnie,NEW ZEALAND,312,TEST,Batting
97,Paul Stirling,NEW ZEALAND,305,TEST,Batting
97,Aamer Jamal,NEW ZEALAND,305,TEST,Batting
99,Mitchell Starc,NEW ZEALAND,302,TEST,Batting
100,Peter Handscomb,NEW ZEALAND,299,TEST,Batting
1,Ravichandran Ashwin,INDIA,853,TEST,Bowling
2,Kagiso Rabada,INDIA,851,TEST,Bowling
3,Pat Cummins,INDIA,828,TEST,Bowling
4,Jasprit Bumrah,INDIA,825,TEST,Bowling
