Position,Name,Rating,Points,Game
1,AUSTRALIA,117,4345,TEST
2,INDIA,117,3746,TEST
3,ENGLAND,115,4941,TEST
4,SOUTH AFRICA,106,2536,TEST
5,NEW ZEALAND,95,2471,TEST
6,PAKISTAN,89,2576,TEST
7,WEST INDIES,81,2505,TEST
8,SRI LANKA,79,2123,TEST
9,BANGLADESH,51,1131,TEST
10,ZIMBABWE,32,223,TEST
11,AFGHANISTAN,10,31,TEST
12,IRELAND,0,0,TEST
1,INDIA,121,7020,ODI
2,AUSTRALIA,117,4926,ODI
3,SOUTH AFRICA,110,4062,ODI
4,PAKISTAN,109,3922,ODI
5,NEW ZEALAND,102,4708,ODI
6,ENGLAND,96,3934,ODI
7,SRI LANKA,88,4336,ODI
8,BANGLADESH,87,4095,ODI
9,AFGHANISTAN,84,2533,ODI
10,WEST INDIES,71,2926,ODI
11,SCOTLAND,50,1662,ODI
12,ZIMBABWE,50,1706,ODI
13,IRELAND,48,1294,ODI
14,NETHERLANDS,41,1507,ODI
15,NEPAL,34,1446,ODI
16,NAMIBIA,29,813,ODI
17,USA,26,808,ODI
18,OMAN,22,525,ODI
19,UAE,15,617,ODI
1,INDIA,266,18867,T20
2,NEW ZEALAND,256,15387,T20
3,ENGLAND,256,12305,T20
4,AUSTRALIA,250,9760,T20
5,PAKISTAN,249,14454,T20
6,SOUTH AFRICA,249,9210,T20
7,WEST INDIES,245,10800,T20
8,SRI LANKA,234,9574,T20
9,BANGLADESH,227,10452,T20
10,AFGHANISTAN,218,8069,T20
11,NAMIBIA,198,5539,T20
12,IRELAND,194,9117,T20
13,ZIMBABWE,193,10222,T20
14,SCOTLAND,190,3412,T20
15,NETHERLANDS,181,3445,T20
16,NEPAL,178,4796,T20
17,UAE,174,6623,T20
18,OMAN,153,3678,T20
19,PNG,144,3173,T20
20,CANADA,140,2528,T20
21,HONG KONG,134,3740,T20
22,UGANDA,132,8602,T20
23,USA,131,1183,T20
24,JERSEY,128,2427,T20
25,MALAYSIA,125,5132,T20
26,KUWAIT,120,3360,T20
27,BAHRAIN,110,3972,T20
28,QATAR,109,1964,T20
29,KENYA,107,4697,T20
30,BERMUDA,107,1494,T20
31,ITALY,101,1712,T20
32,SAUDI ARABIA,100,1992,T20
33,TANZANIA,96,4727,T20
34,SPAIN,92,1649,T20
35,GERMANY,92,3022,T20
36,SINGAPORE,79,2209,T20
37,GUERNSEY,76,1212,T20
38,NIGERIA,75,2261,T20
39,PORTUGAL,73,1167,T20
40,CAYMAN ISLANDS,72,790,T20
41,DENMARK,71,1622,T20
42,BELGIUM,69,1237,T20
43,CAMBODIA,64,837,T20
44,ISLE OF MAN,63,949,T20
45,AUSTRIA,58,1682,T20
46,NORWAY,57,852,T20
47,VANUATU,56,846,T20
48,BOTSWANA,53,1543,T20
49,FINLAND,53,953,T20
50,SWITZERLAND,52,835,T20
51,JAPAN,51,768,T20
52,MALAWI,49,933,T20
53,CZECH REPUBLIC,46,1101,T20
54,FRANCE,46,730,T20
55,INDONESIA,45,993,T20
56,SWEDEN,42,759,T20
57,PHILIPPINES,41,698,T20
58,ROMANIA,41,1149,T20
59,COOK ISLANDS,41,245,T20
60,ARGENTINA,39,424,T20
61,MOZAMBIQUE,36,864,T20
62,MALTA,35,1535,T20
63,RWANDA,32,2255,T20
64,GHANA,31,968,T20
65,FIJI,30,304,T20
66,BHUTAN,30,325,T20
67,LUXEMBOURG,28,845,T20
68,SIERRA LEONE,27,766,T20
69,CYPRUS,26,206,T20
70,BAHAMAS,24,241,T20
71,BELIZE,22,66,T20
72,HUNGARY,19,367,T20
73,PANAMA,19,206,T20
74,THAILAND,15,205,T20
75,SERBIA,14,268,T20
76,GIBRALTAR,13,385,T20
77,BULGARIA,10,289,T20
78,LESOTHO,9,82,T20
79,ESTONIA,5,60,T20
80,TURKEY,4,26,T20
81,MALDIVES,3,44,T20
82,CAMEROON,2,25,T20
83,GAMBIA,1,11,T20
84,ESWATINI,0,0,T20
85,SEYCHELLES,0,0,T20
86,SAMOA,0,0,T20
87,MALI,0,0,T20
88,CROATIA,0,0,T20
89,GREECE,0,0,T20
